,wTargetMeanLDA,wTargetCovLDA,tPropLDA,wTargetMeanQDA,wTargetCovQDA,tPropQDA,AccLDAInd,AccQDAInd,AccLDAMulti,AccQDAMulti,AccLDAProp,AccQDAProp,AccLDALiu,AccQDALiu,AccLDAVidovic,AccQDAVidovic,person,times,shots
0,0.5,0.5114882189181083,2.7140424251556396,0.7789081151555054,0.5,2.9050700664520264,0.738,0.557,0.513,0.512,0.818,0.642,0.638,0.615,0.5,0.428,20.0,0.0,3.0
1,0.557861476862686,0.5809073278629822,3.3451948165893555,0.5264068897441496,0.547922689754595,5.075035095214844,0.805,0.722,0.513,0.512,0.824,0.778,0.756,0.7,0.5,0.495,20.0,0.0,4.0
2,0.5478191875641595,0.5719712729246563,4.115513801574707,0.5431881894062724,0.5862581578234977,3.8842217922210693,0.805,0.802,0.513,0.512,0.828,0.814,0.811,0.788,0.504,0.235,20.0,0.0,5.0
3,0.5557586019988419,0.5962175374588434,6.030862331390381,0.5557586019988419,0.5796380513563668,4.943696022033691,0.807,0.804,0.513,0.512,0.833,0.809,0.791,0.762,0.501,0.4,20.0,0.0,6.0
4,0.5659169588399144,0.6093804147307786,3.375356435775757,0.5971957928615366,0.59096751609252,5.187637805938721,0.82,0.808,0.513,0.512,0.832,0.814,0.808,0.778,0.502,0.363,20.0,0.0,7.0
5,0.604889235354715,0.6322744038352537,10.27477765083313,0.5744967863088652,0.5878459349609093,8.109487056732178,0.818,0.805,0.513,0.512,0.836,0.815,0.809,0.771,0.5,0.447,20.0,0.0,8.0
6,0.6088264911455737,0.6460454582206425,5.028276205062866,0.58195652843061,0.5909348523543323,8.614426612854004,0.809,0.791,0.513,0.512,0.823,0.809,0.8,0.768,0.501,0.496,20.0,0.0,9.0
7,0.614966693839566,0.6325301547075834,5.731050491333008,0.6008527099494205,0.596999289419878,7.375357389450073,0.805,0.786,0.513,0.512,0.825,0.801,0.813,0.781,0.504,0.492,20.0,0.0,10.0
8,0.6338272688022246,0.6521629933296359,6.062931060791016,0.6080789998305072,0.6102744615674558,8.60066032409668,0.817,0.797,0.513,0.512,0.835,0.807,0.822,0.781,0.501,0.491,20.0,0.0,11.0
9,0.599982639915076,0.6327914794766265,5.12484073638916,0.599982639915076,0.6197846200822236,13.987120628356934,0.833,0.792,0.513,0.512,0.836,0.806,0.833,0.779,0.501,0.497,20.0,0.0,12.0
10,0.6180332279386663,0.6339609671892916,7.068387746810913,0.6201859799652663,0.6339499993475002,8.987444877624512,0.825,0.807,0.513,0.512,0.837,0.812,0.823,0.801,0.505,0.497,20.0,0.0,13.0
11,0.6215259801069402,0.6352623684372654,8.143355369567871,0.619586413053921,0.6304374011168016,8.296059370040894,0.815,0.805,0.513,0.512,0.833,0.807,0.822,0.785,0.505,0.496,20.0,0.0,14.0
12,0.6303732102182406,0.6397500204763262,5.726003885269165,0.6303732102182406,0.6335846852453714,10.991886377334595,0.815,0.804,0.513,0.512,0.832,0.809,0.825,0.787,0.505,0.496,20.0,0.0,15.0
13,0.6263736422043329,0.6327302464712885,11.516073226928711,0.6349234698769691,0.6387245587927459,15.95149564743042,0.814,0.817,0.513,0.512,0.832,0.813,0.827,0.799,0.51,0.496,20.0,0.0,16.0
14,0.6328105779973116,0.6383937709058936,9.153414964675903,0.6328105779973116,0.6432583940574108,12.888301372528076,0.815,0.816,0.513,0.512,0.834,0.814,0.828,0.799,0.51,0.495,20.0,0.0,17.0
15,0.6337000121121124,0.6441580705457219,19.955684661865234,0.6435549254105464,0.6519210775234621,14.597050666809082,0.825,0.815,0.513,0.512,0.833,0.817,0.833,0.799,0.503,0.496,20.0,0.0,18.0
16,0.6365037125112636,0.6454186016227978,12.121946334838867,0.6457573319533634,0.655025303092798,15.666472673416138,0.821,0.815,0.513,0.512,0.834,0.813,0.828,0.799,0.505,0.494,20.0,0.0,19.0
17,0.6365928903423494,0.650915711307854,9.981016874313354,0.6454244579293387,0.6561618266353454,16.594792127609253,0.824,0.811,0.513,0.512,0.832,0.81,0.825,0.796,0.503,0.497,20.0,0.0,20.0
18,0.6394658364038492,0.6504576095554104,9.157742261886597,0.647680526229558,0.6574772536972835,16.834824562072754,0.823,0.814,0.513,0.512,0.832,0.814,0.828,0.798,0.504,0.5,20.0,0.0,21.0
19,0.6510324771665922,0.6599545211365563,11.80701208114624,0.6384122124600178,0.6584111760498941,17.1900577545166,0.821,0.816,0.513,0.512,0.833,0.817,0.831,0.806,0.503,0.5,20.0,0.0,22.0
20,0.6532295895998826,0.6610718861868091,11.014793157577515,0.6449139629286831,0.6625816168503654,16.039512872695923,0.823,0.817,0.513,0.512,0.835,0.819,0.827,0.813,0.504,0.499,20.0,0.0,23.0
21,0.6564998598265179,0.6656741951193794,10.173617601394653,0.6463552659015199,0.6682741019472274,15.608870506286621,0.825,0.818,0.513,0.512,0.833,0.819,0.825,0.81,0.503,0.499,20.0,0.0,24.0
22,0.6596234117551036,0.671720935824569,34.28330326080322,0.6500087494192361,0.6723863219377941,49.808090686798096,0.821,0.818,0.513,0.512,0.833,0.82,0.826,0.817,0.503,0.499,20.0,0.0,25.0
23,0.6615933168266401,0.6725537293929915,13.53656554222107,0.6524379606438895,0.6725169415213298,18.43062925338745,0.822,0.818,0.513,0.512,0.834,0.822,0.828,0.816,0.503,0.499,20.0,0.0,26.0
24,0.6635306569107625,0.6780537190453476,18.691983699798584,0.6547950343121138,0.6739084545743546,28.823718786239624,0.827,0.822,0.513,0.512,0.834,0.821,0.83,0.815,0.503,0.499,20.0,0.0,27.0
25,0.6654350239071561,0.6747501215699706,25.18242835998535,0.6570737365722418,0.6783550286388886,26.599620580673218,0.825,0.821,0.513,0.512,0.833,0.82,0.827,0.813,0.505,0.499,20.0,0.0,28.0
